"id","Marka_pojazdu","Model_pojazdu","Rok_produkcji","Przebieg","Pojemność_skokowa","Rodzaj_paliwa","Moc","Typ_nadwozia","Kolor","Cena"
"349","Toyota","RAV4","2006","176 072 km","1 987 cm3","Benzyna","152 KM","SUV","Czarny","32500"
"350","Chevrolet","Cruze","2012","92 100 km","1 598 cm3","Benzyna","124 KM","Kompakt","Brązowy","29000"
"351","Volkswagen","New Beetle","1999","330 781 km","1 896 cm3","Diesel","90 KM","Auta miejskie","Czarny","4674"
"352","Skoda","Octavia","2012","178 000 km","1 197 cm3","Benzyna","105 KM","Sedan","Czarny","23000"
"353","Skoda","Fabia","2001","111 403 km","1 397 cm3","Benzyna","60 KM","Auta miejskie","Zielony","6000"
"354","Ford","Galaxy","2009","325 000 km","1 997 cm3","Diesel","140 KM","Minivan","Szary","25200"
"355","Skoda","Kodiaq","2018","63 000 km","1 984 cm3","Benzyna","180 KM","SUV","Szary","125999"
"356","BMW","Seria 3","2020","62 000 km","2 998 cm3","Benzyna","374 KM","Sedan","Szary","202000"
"357","Lancia","Delta","2014","228 300 km","1 368 cm3","Benzyna","140 KM","Kompakt","Czarny","28900"
"358","Renault","Megane","2017","141 000 km","1 461 cm3","Diesel","90 KM","Kompakt","Biały","46500"
"359","Mazda","3","2018","72 998 km","1 998 cm3","Benzyna","120 KM","Kompakt","Szary","61000"
"360","Toyota","Auris","2007","274 195 km","1 364 cm3","Diesel","90 KM","Kompakt","Granatowy","12900"
"361","Mercedes-Benz","Klasa E","2005","270 000 km","3 222 cm3","Diesel","177 KM","Kombi","Srebrny","21300"
"362","Toyota","Auris","2014","122 000 km","1 329 cm3","Benzyna+LPG","101 KM","Kompakt","Biały","39500"
"363","Peugeot","308","2014","149 000 km","1 199 cm3","Benzyna","130 KM","Kombi","Srebrny","39900"
"364","BMW","Seria 5","2003","222 641 km","2 171 cm3","Benzyna+LPG","170 KM","Sedan","Czarny","17500"
"365","Renault","Laguna","2007","227 000 km","1 995 cm3","Diesel","150 KM","Sedan","Srebrny","21000"
"366","Volvo","V40","2013","241 000 km","1 560 cm3","Diesel","115 KM","Kompakt","Szary","41900"
"367","BMW","Seria 1","2005","155 000 km","1 596 cm3","Benzyna","116 KM","Kompakt","Szary","16800"
"368","Volvo","V40","2014","234 000 km","1 560 cm3","Diesel","115 KM","Kompakt","Biały","42900"
"369","Volvo","XC 90","2006","214 761 km","2 401 cm3","Diesel","185 KM","SUV","Czarny","37000"
"370","Seat","Leon","2013","180 874 km","1 968 cm3","Diesel","150 KM","Kompakt","Czerwony","47000"
"371","Ford","Focus","2014","143 000 km","998 cm3","Benzyna","125 KM","Kompakt","Czarny","34900"
"372","Volvo","S60","2001","431 000 km","2 435 cm3","Benzyna+LPG","140 KM","Sedan","Inny kolor","9900"
"373","Chevrolet","Aveo","2007","98 000 km","1 150 cm3","Benzyna","72 KM","Auta miejskie","Srebrny","9400"
"374","Honda","Jazz","2009","108 000 km","1 339 cm3","Benzyna","100 KM","Auta miejskie","Czarny","23900"
"375","BMW","X3","2012","300 000 km","1 995 cm3","Diesel","184 KM","SUV","Złoty","50000"
"376","Nissan","Qashqai","2010","126 172 km","1 997 cm3","Benzyna","141 KM","SUV","Brązowy","37900"
"377","Mercedes-Benz","SL","1986","145 000 km","4 973 cm3","Benzyna","326 KM","Kabriolet","Beżowy","86000"
"378","Volvo","V50","2012","255 000 km","1 560 cm3","Diesel","115 KM","Kombi","Czarny","25700"
"379","Mazda","5","2008","293 000 km","1 998 cm3","Diesel","110 KM","Minivan","Srebrny","12500"
"380","Mercedes-Benz","SL","1998","170 000 km","4 973 cm3","Benzyna","320 KM","Kabriolet","Biały","61500"
"381","Volvo","V50","2005","355 000 km","1 998 cm3","Diesel","136 KM","Kombi","Granatowy","8000"
"382","Chrysler","Pacifica","2018","88 000 km","3 605 cm3","Benzyna","291 KM","Minivan","Inny kolor","125700"
"383","BMW","X3","2008","330 000 km","2 996 cm3","Benzyna+LPG","272 KM","SUV","Zielony","40000"
"384","Opel","Insignia","2009","206 003 km","1 998 cm3","Benzyna","220 KM","Kombi","Srebrny","27900"
"385","Citroën","DS4","2014","175 000 km","1 997 cm3","Diesel","163 KM","Kompakt","Szary","42700"
"386","Peugeot","308","2014","239 000 km","1 560 cm3","Diesel","120 KM","Kombi","Szary","39500"
"387","Chrysler","300s","2015","142 000 km","3 604 cm3","Benzyna+LPG","296 KM","Sedan","Biały","85000"
"388","Opel","Astra","2010","217 000 km","1 686 cm3","Diesel","110 KM","Kompakt","Biały","22300"
"389","BMW","Seria 3","2012","228 300 km","1 995 cm3","Diesel","184 KM","Kombi","Czarny","27999"
